Rank,Condition (Peak Marker),-log10(p-value),Fine Mapping LD Structure,REF/ALT freq.,Prop ALT strains HVR
1,Chlorothalonil (II:5392976),7.943,<250kb,0.216/0.784,0.98
2,Mercury (III:2461452),6.201,<250kb,0.865/0.135,0.769
3,Chlorothalonil (II:13921653),6.134,<250kb,0.237/0.763,0.818
4,Carboxin (III:2527992),5.914,<250kb,0.451/0.549,1
5,Arsenic (III:1642838),5.869,>500kb,0.134/0.866,1
6,Mercury (II:626831),5.418,<250kb,0.886/0.114,1
7,Arsenic (II:13692527),5.341,<250kb,0.129/0.871,0.805
8,Propoxur (V:5315004),5.219,<250kb,0.876/0.124,0.583
9,Chlorothalonil (III:4478684),5.206,250..500kb,0.335/0.665,0.349
10,Mercury (II:3977000),5.183,<250kb,0.886/0.114,1
11,Mercury (III:3716201),4.825,<250kb,0.886/0.114,0.636
12,Nickel (V:1486141),4.782,<250kb,0.802/0.198,0.789
13,Silver 7.8 uM (I:1622740),4.742,<250kb,0.562/0.438,0.882
14,Silver 7.8 uM (II:3016298),4.694,<250kb,0.856/0.144,1
15,Chlorothalonil (I:1741155),4.653,<250kb,0.294/0.706,0.693
16,Paraquat 62.5 uM (II:13675568),4.527,<250kb,0.839/0.161,0.68
17,Aldicarb (X:13252751),4.5,<250kb,0.768/0.232,0.067
18,Chlorothalonil (III:1455164),4.495,<250kb,0.263/0.737,0.965
19,Aldicarb (IV:16631628),4.423,<250kb,0.454/0.546,0.236
20,Chlorothalonil (III:2605810),4.315,<250kb,0.299/0.701,0.963
21,Carbaryl (I:2596756),4.309,<250kb,0.479/0.521,0.554
22,Cadmium (X:5955567),4.267,<250kb,0.305/0.695,0.053
