Condition,Peak Marker,Interval,-log10(p-value),Effect Size,Frequency,Variance Explained
"2,4-D",V:14453636,V:13865698-15025162,5.56319513583543,20.9092,0.0729167,0.0659400892319161
Aldicarb,III:8311919,III:7790159-8989539,6.19142040473137,-50.9216,0.0515464,0.119052148711257
Aldicarb,IV:2368192,IV:2179845-2507551,5.01499410140424,-43.8038,0.056701,0.0945219231950158
Aldicarb,X:13252751,X:13002956-13505962,4.50042150457604,22.6963,0.231959,0.0836930037735355
Aldicarb,IV:16631628,IV:16474675-17180844,4.42285646470549,-19.0685,0.453608,0.0887415891932698
Aldicarb,IV:13208614,IV:12966415-13439670,4.38163702315461,-31.7824,0.0979381,0.0847393471820893
Arsenic,III:1642838,III:28947-2527992,5.86866689634314,-18.1814,0.134021,0.121789792285631
Arsenic,II:13692527,II:13521931-14347284,5.34056587767992,-17.6338,0.128866,0.109944345276724
Atrazine,II:12658388,II:12471656-12749733,4.26558024436997,-13.1798,0.0876289,0.075386803097312
Cadmium,X:5955567,X:5111074-7424675,4.2665699961584,18.2585,0.305263,0.150856318980623
Carbaryl,I:2596756,I:2394565-2987265,4.30866207565557,-11.035,0.479381,0.0582419948143341
Carboxin,III:2527992,III:2330097-2677403,5.91371493136742,-15.723,0.450777,0.100946162730877
Chlorothalonil,II:5392976,II:4501686-12735930,7.94272577451758,-10.8962,0.216495,0.145850204615576
Chlorothalonil,II:13921653,II:13521931-14060605,6.13371443354996,-9.32208,0.237113,0.121671418659379
Chlorothalonil,III:4478684,III:3019479-7505522,5.20623335552779,-7.73883,0.335052,0.0899688146826387
Chlorothalonil,I:1741155,I:1503347-1973889,4.65257825576127,-7.56965,0.293814,0.0865834275918117
Chlorothalonil,III:1455164,III:1286570-1603611,4.49477402679512,-7.69358,0.262887,0.082525740678825
Chlorothalonil,III:2605810,III:1997851-2735727,4.31522912086201,-7.24153,0.298969,0.0726114807053624
Mancozeb,II:10305644,II:9770391-10735023,4.18791593486781,10.7366,0.0618557,0.0481203369940322
Mercury,III:2461452,III:2007984-2632011,6.2008269964468,-34.5158,0.134715,0.112531102161016
Mercury,II:626831,II:7007-910200,5.41828352903867,-34.6754,0.11399,0.110052904097086
Mercury,II:3977000,II:3740025-4194656,5.18304253915878,-33.9056,0.11399,0.103685454236927
Mercury,I:2994073,I:2643819-3157610,5.12589755835554,-46.2169,0.0569948,0.106606663127351
Mercury,III:3716201,III:3103196-5563041,4.8253762375682,-32.6883,0.11399,0.0952287974090788
Mercury,III:10133612,III:9741903-10475212,4.5890187383138,41.9174,0.0621762,0.0860810113842009
Mercury,V:15476283,V:15076312-15922559,4.34900805535905,-44.4041,0.0518135,0.0876078329999882
Mercury,II:2730209,II:2628141-2835866,4.16077782806705,-39.82,0.0621762,0.0788128042832745
Nickel,V:1486141,V:1077258-1844647,4.78212931113563,-28.1148,0.197917,0.210390982696774
Nickel,II:12203935,II:12072541-12341169,4.69634396374594,-40.235,0.0729167,0.177468960593481
Paraquat 62.5 uM,I:3282224,I:3080922-3567564,5.15222936251189,29.2065,0.0580645,0.0810713280599535
Paraquat 62.5 uM,X:2848181,X:2674396-4285086,4.55398660085567,21.7119,0.0967742,0.0795143464313533
Paraquat 62.5 uM,II:13675568,II:13499019-13782678,4.52711927543189,17.4003,0.16129,0.108800077035342
Paraquat 62.5 uM,I:11258815,I:8368174-11701489,4.32619880184801,26.7361,0.0580645,0.1009969873795
Propoxur,V:5315004,V:4897242-5628662,5.21891345110117,8.25631,0.123711,0.0584853969909749
Silver 7.8 uM,II:11883855,II:11688376-12058655,4.80432723581206,9.21609,0.0927835,0.0886669073740775
Silver 7.8 uM,I:1622740,I:1336302-1887214,4.74162375545968,5.3527,0.438144,0.0873109309870787
Silver 7.8 uM,II:3016298,II:2622088-3571413,4.69445732512554,7.51827,0.14433,0.0865760028461559
TPhP 6.25 uM,V:7623783,V:6022066-16602903,7.42012041205426,-17.2098,0.0857143,0.157813086158287
TPhP 6.25 uM,IV:16034033,IV:15887403-16272774,5.63611173879047,-19.1124,0.0514286,0.121052719297783
Zinc,I:4884561,I:3619760-8718857,5.87631165833241,-10.6546,0.103448,0.122758673082049
